city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
szczecin,Other,30.0,1.0,2.0,10.0,1970.0,53.399,14.5339,3.25,1.0,0.427,1.063,0.548,0.514,0.625,2.322,0.542,condominium,no,no,no,no,yes,274000
szczecin,tenement,94.03,5.0,2.0,4.0,1930.0,53.4419693,14.5285865,2.98,10.0,0.085,0.431,1.032,0.467,0.059,0.149,0.071,condominium,no,yes,no,no,yes,850000
szczecin,tenement,42.88,2.0,,4.0,1930.0,53.4384751,14.5639265,1.69,17.0,0.211,0.683,0.564,0.133,0.277,1.026,0.226,condominium,no,no,no,no,yes,269000
szczecin,Other,44.96,2.0,,,,53.4308373,14.5419351,1.51,75.0,0.261,0.582,0.132,0.166,0.043,0.19,0.075,cooperative,no,no,Other,no,no,370000
szczecin,Other,88.42,3.0,4.0,4.0,,53.4273184,14.543117,1.26,61.0,0.216,0.379,0.26,0.401,0.11,0.233,0.071,condominium,no,no,no,no,no,619000
szczecin,Other,31.3,1.0,3.0,10.0,,53.428561,14.5141183,3.16,11.0,0.463,1.304,0.405,0.157,0.276,1.5,0.399,cooperative,no,no,yes,no,no,279000
szczecin,blockOfFlats,47.45,2.0,1.0,11.0,1975.0,53.45310034,14.52462959,4.09,3.0,0.375,0.583,0.751,0.563,0.834,1.267,0.145,condominium,yes,yes,yes,no,yes,382000
szczecin,tenement,32.49,2.0,1.0,3.0,1930.0,53.4358603,14.54539124,1.73,46.0,0.082,0.233,0.325,0.16,0.134,0.283,0.325,condominium,no,no,no,no,yes,380000
szczecin,blockOfFlats,42.7,2.0,8.0,11.0,1980.0,53.4319533,14.5186469,2.96,10.0,0.141,1.263,0.261,0.325,0.207,1.027,0.37,condominium,no,yes,yes,no,yes,449000
szczecin,blockOfFlats,92.6,4.0,3.0,3.0,2000.0,53.3679515,14.6480244,8.45,5.0,0.632,0.434,0.523,0.724,0.329,,0.341,cooperative,no,yes,no,no,yes,910000
szczecin,blockOfFlats,42.0,2.0,1.0,2.0,1929.0,53.44580368,14.50348712,4.55,9.0,0.245,0.43,0.416,0.32,0.361,1.848,0.375,condominium,no,no,no,no,yes,385000
szczecin,tenement,30.02,2.0,,3.0,1930.0,53.4406575,14.5267332,2.97,12.0,0.273,0.489,0.964,0.573,0.215,0.324,0.221,condominium,no,no,no,no,yes,334000
szczecin,tenement,80.17,3.0,4.0,4.0,1936.0,53.431159,14.536018,1.86,46.0,0.054,0.567,0.269,0.259,0.194,0.497,0.182,condominium,no,no,Other,no,no,599000
szczecin,Other,74.15,3.0,,2.0,2012.0,53.40359,14.680375,8.21,1.0,0.257,3.268,0.592,1.071,1.005,,0.552,condominium,yes,yes,no,no,no,599000
szczecin,tenement,94.0,3.0,3.0,3.0,,53.4282073,14.5315583,2.02,20.0,0.295,0.639,0.124,0.581,0.095,0.802,0.068,condominium,no,no,no,no,yes,599000
szczecin,tenement,77.71,3.0,3.0,3.0,1925.0,53.43301925,14.56977461,1.22,9.0,0.568,0.994,0.346,0.374,0.07,0.675,0.43,condominium,no,no,no,no,yes,550000
szczecin,blockOfFlats,35.0,1.0,9.0,11.0,1986.0,53.4543534,14.5406666,3.7,10.0,0.304,0.505,0.423,0.272,0.269,1.492,0.358,condominium,no,yes,no,no,no,154040
szczecin,blockOfFlats,63.92,3.0,1.0,2.0,2014.0,53.4951,14.5867,8.15,4.0,1.426,1.18,0.143,0.168,0.135,3.646,0.131,condominium,no,yes,no,yes,no,679000
szczecin,blockOfFlats,49.5,2.0,1.0,4.0,1980.0,53.365833,14.661389,9.24,9.0,0.449,1.328,0.216,0.195,0.228,,0.236,cooperative,no,yes,no,no,yes,462000
szczecin,tenement,26.43,1.0,4.0,4.0,1930.0,53.4285812,14.5519211,0.83,67.0,0.321,0.233,0.245,0.245,0.114,0.566,0.125,condominium,no,no,Other,no,no,319000
szczecin,blockOfFlats,48.0,2.0,2.0,4.0,,53.403,14.5224,3.42,9.0,0.403,0.754,0.551,0.109,0.091,1.969,0.168,cooperative,yes,yes,no,no,yes,445000
szczecin,Other,37.28,2.0,7.0,11.0,,53.455075,14.5474,3.64,4.0,0.71,0.951,0.238,0.193,0.532,1.797,0.122,condominium,no,yes,yes,no,no,305000
szczecin,tenement,80.0,4.0,4.0,4.0,1930.0,53.4470046,14.548135,2.76,13.0,0.407,0.734,0.379,0.323,0.297,1.258,0.137,condominium,no,no,Other,no,no,439000
szczecin,Other,56.0,2.0,2.0,2.0,2013.0,53.48185742,14.54287871,6.61,2.0,1.745,2.765,1.363,0.913,0.196,3.176,0.01,condominium,yes,yes,no,no,yes,597000
szczecin,blockOfFlats,38.2,2.0,4.0,4.0,1980.0,53.4285,14.5528,0.78,66.0,0.293,0.282,0.263,0.249,0.065,0.594,0.088,cooperative,yes,yes,no,no,yes,299000
szczecin,Other,51.4,2.0,4.0,4.0,2016.0,53.4134297,14.4925976,4.66,4.0,0.602,1.18,0.345,0.437,0.174,2.681,0.876,condominium,no,no,yes,no,no,516000
szczecin,Other,48.5,2.0,7.0,12.0,,53.4285438,14.5528116,0.79,67.0,0.288,0.285,0.268,0.245,0.068,0.593,0.085,condominium,no,no,yes,no,no,390000
szczecin,blockOfFlats,37.5,2.0,4.0,4.0,1974.0,53.4056,14.528,2.95,14.0,0.165,0.312,0.22,0.266,0.149,1.601,0.081,condominium,no,no,no,no,no,385000
szczecin,blockOfFlats,62.3,4.0,2.0,4.0,1980.0,53.4546588,14.4976449,5.45,12.0,0.289,1.488,0.155,0.173,0.434,2.588,0.112,condominium,no,yes,no,no,yes,499000
szczecin,blockOfFlats,52.92,2.0,4.0,4.0,1987.0,53.4253099,14.481843,5.25,4.0,0.595,0.738,0.241,0.762,0.418,3.353,0.118,condominium,no,yes,no,no,yes,449000
szczecin,apartmentBuilding,36.87,2.0,2.0,7.0,2021.0,53.422763,14.5572001,0.26,61.0,0.239,0.492,0.215,0.226,0.081,0.79,0.401,condominium,no,no,yes,no,no,450000
szczecin,Other,81.9,3.0,2.0,9.0,,53.49168,14.57978,7.69,1.0,1.863,0.848,0.569,0.444,0.581,3.225,0.532,cooperative,no,no,yes,no,no,779000
szczecin,blockOfFlats,47.0,3.0,4.0,11.0,1974.0,53.43274915,14.55254064,1.18,54.0,0.132,0.185,0.219,0.216,0.087,0.705,0.111,cooperative,no,yes,yes,no,yes,460000
szczecin,Other,52.0,3.0,3.0,4.0,,53.4537674,14.4981049,5.36,16.0,0.251,1.385,0.254,0.222,0.335,2.51,0.214,condominium,no,yes,no,no,no,510000
szczecin,blockOfFlats,57.0,3.0,2.0,2.0,2016.0,53.474167,14.537222,5.86,1.0,0.888,2.189,0.795,0.494,0.598,3.013,0.662,condominium,yes,yes,yes,no,no,699000
szczecin,Other,44.0,2.0,4.0,10.0,,53.4545,14.4972,5.46,12.0,0.256,1.483,0.154,0.208,0.418,2.604,0.118,condominium,no,no,yes,no,no,439999
szczecin,tenement,58.0,3.0,2.0,3.0,1930.0,53.4459704,14.5590098,2.51,9.0,0.167,0.686,0.76,0.077,0.421,1.582,0.17,condominium,no,no,no,no,no,399000
szczecin,blockOfFlats,27.25,1.0,3.0,4.0,1980.0,53.418611,14.549722,0.92,11.0,0.371,0.319,0.225,0.63,0.323,1.208,0.359,condominium,no,yes,no,no,yes,275000
szczecin,Other,51.97,3.0,4.0,4.0,,53.4506011,14.5422766,3.27,10.0,0.192,0.758,0.428,0.413,0.319,1.197,0.022,condominium,no,yes,no,no,no,459000
szczecin,blockOfFlats,59.75,3.0,2.0,4.0,1970.0,53.4393654,14.5650356,1.8,18.0,0.091,0.8,0.552,0.132,0.189,1.136,0.142,condominium,no,yes,no,no,yes,460000
szczecin,tenement,61.38,2.0,3.0,4.0,1940.0,53.4456258,14.54739186,2.63,16.0,0.472,0.625,0.352,0.218,0.229,1.097,0.118,condominium,no,no,no,no,yes,520000
szczecin,blockOfFlats,63.56,4.0,2.0,4.0,,53.3983721,14.4946119,5.2,2.0,1.528,2.569,0.158,1.805,0.131,3.422,0.689,condominium,no,yes,no,no,yes,529000
szczecin,blockOfFlats,80.0,3.0,,1.0,,53.45416667,14.52944444,4.01,9.0,0.061,0.245,0.413,0.223,0.498,1.322,0.348,condominium,yes,no,no,yes,yes,920000
szczecin,blockOfFlats,46.95,2.0,4.0,4.0,1969.0,53.4459492,14.5624689,2.51,6.0,0.142,0.842,0.675,0.222,0.565,1.757,0.298,cooperative,no,no,Other,no,no,289000
szczecin,tenement,93.82,4.0,3.0,3.0,1905.0,53.4262,14.5294,2.11,16.0,0.345,0.427,0.143,0.814,0.173,0.723,0.088,condominium,yes,yes,no,no,yes,599000
szczecin,Other,35.0,2.0,,10.0,,53.4502548,14.5686597,3.03,9.0,0.126,0.511,0.306,0.146,0.303,1.527,0.317,cooperative,no,no,yes,no,yes,299000
szczecin,blockOfFlats,38.0,2.0,4.0,4.0,1978.0,53.455075,14.5474,3.64,4.0,0.71,0.951,0.238,0.193,0.532,1.797,0.122,cooperative,no,no,no,no,yes,299000
